feature_name,rank,mean_abs_shap,std_abs_shap,cluster_id,cutoff_rule,selected
industry,1,0.00968896264051515,0.00012093063427250654,1,cap,True
reversal_5d_z,2,0.005156335565204055,0.00037378699092809774,2,cap,True
amihud_illiq_21d,3,0.0029032895929917693,0.00020615192736584106,3,cap,True
amihud_illiq_21d_decile,4,0.0028892443450411,9.142857606985461e-05,4,cap,True
reversal_5d_decile,5,0.0021631455812076016,0.0001527379437900291,2,cap,False
atr_14,6,0.00207316378383423,0.00020133956145477683,5,cap,True
amihud_illiq_21d_z,7,0.0020055395201181146,0.00015887320380926604,6,cap,True
macd,8,0.0016922819547201858,0.00016642223784464058,7,cap,True
price_to_ma_50,9,0.00165955468156773,0.000348506204718403,8,cap,True
market_cap_z,10,0.0014773767686557789,0.00025690460299138205,9,cap,True
adv_21d_z,11,0.0014742093301954918,9.966122383028516e-05,10,cap,True
max_drawdown_252d,12,0.0014691711611548126,0.00020409459880122393,11,cap,True
dist_from_52w_high_z,13,0.0014624423748964307,0.0002865428202082221,12,cap,True
market_cap_decile,14,0.0014622986695775986,0.00013690124065361456,9,cap,False
macd_hist_z,15,0.0011338326969803122,1.9720995148295953e-05,13,cap,True
mom_12_1,16,0.0010729642306630555,0.00011236359065633135,14,cap,True
macd_signal,17,0.0010726447726518112,0.00011526272251217519,15,cap,True
ret_63d,18,0.0009956495172665743,0.0002577484919299248,16,cap,True
month_of_year,19,0.0009567715858852823,4.34411741138599e-05,17,cap,True
sector,20,0.0009238081154173163,3.106355448841556e-05,18,cap,True
mom_12_1_z,21,0.0008544230992305338,1.6843782220266795e-05,19,cap,True
stoch_k_14,22,0.0008211755739688019,8.257501947984364e-05,20,cap,True
days_since_available,23,0.0007944006022045319,0.00018190873525033156,21,cap,True
ret_5d,24,0.0007785311155523389,0.00011341776365461154,22,cap,True
ebitda_ttm,25,0.0007675774519861055,0.00017020541556307244,23,cap,True
adv_21d_decile,26,0.0007629053787815803,4.939142595638676e-05,10,cap,False
price_to_ma_50_z,27,0.0007609188131805058,2.5341166073489508e-05,24,cap,True
mom_12_1_vs_sector,28,0.0007604731249949767,3.220040557009133e-05,25,cap,True
max_drawdown_252d_z,29,0.0007266383224817094,6.751975605904124e-05,26,cap,True
ma_50_over_200,30,0.0007200819234564967,7.205691134184321e-05,27,cap,True
amihud_illiq_21d_vs_sector,31,0.0006913132138762122,0.00020197134632882652,28,cap,True
reversal_5d_vs_sector,32,0.0006912285124482402,8.656249880992079e-05,29,cap,True
ret_1d,33,0.0006544512567651835,0.00010532467275019023,30,cap,True
bollinger_pctb_20,34,0.0005887605232326243,8.697494099512934e-05,31,cap,True
dist_from_52w_high,35,0.0005723400893130371,8.264940052757278e-05,32,cap,True
bollinger_pctb_20_z,36,0.0005687956651161308,5.369976514165284e-05,33,cap,True
vol_63d,37,0.0005546666154950679,0.0001412781481007638,34,cap,True
parkinson_vol_21d,38,0.00055132846943848,8.839335173666852e-05,35,cap,True
bollinger_width_20,39,0.0005283402015796815,9.37811138765416e-05,36,cap,True
ret_252d,40,0.0005238843721842875,4.117023644423965e-05,37,cap,True
ret_21d,41,0.0005115673738577511,7.153793770771732e-05,38,cap,True
reversal_5d,42,0.000455081322643411,8.436245741751697e-05,22,cap,False
sharpe_63d,43,0.0004505328232470105,5.458700517854786e-05,16,cap,False
atr_pct,44,0.00039824186892160033,7.20594845600214e-05,39,cap,True
dist_from_52w_low,45,0.0003942588021261315,0.00011570412854640002,40,cap,True
dist_from_52w_high_vs_sector,46,0.00038102173551926913,7.719691782347271e-05,41,cap,False
macd_hist_decile,47,0.0003704025423319073,1.6030383913671494e-05,13,cap,False
vol_252d_vs_sector,48,0.00035459556254687917,4.627082796481427e-05,42,cap,False
net_margin_z,49,0.0003431587097275839,0.00011913054781297516,43,cap,False
vol_252d,50,0.00033783345609764766,7.788676967676542e-05,44,cap,False
beta_252d,51,0.00033419793524943557,6.012924040348547e-05,45,cap,False
ret_126d_z,52,0.00032207979157119256,2.3068272614378297e-05,46,cap,False
price_to_ma_200,53,0.00032062904909661513,5.990227565069325e-05,47,cap,False
ret_63d_z,54,0.00031703128775298513,1.6278769800762417e-05,48,cap,False
net_income_ttm,55,0.00031407378389943663,4.203403104732757e-05,49,cap,False
ret_126d,56,0.00030849838902532924,4.947539874475632e-05,50,cap,False
sharpe_63d_z,57,0.00028574050099839407,1.4412972774575714e-05,48,cap,False
mom_12_1_decile,58,0.0002748616226809251,1.1312665820275043e-05,19,cap,False
market_corr_252d,59,0.0002726679549209358,6.983247567536221e-05,51,cap,False
idio_vol_252d,60,0.00027166222492342265,4.719870395982289e-05,52,cap,False
earnings_yield,61,0.00025699833150533277,2.763645845146532e-05,53,cap,False
bollinger_pctb_20_decile,62,0.0002556852636444749,9.81146546895516e-06,33,cap,False
downside_dev_21d,63,0.00024261272460083272,7.476866882365641e-05,54,cap,False
beta_252d_z,64,0.00024211586085352035,1.52640271570466e-05,45,cap,False
vol_21d,65,0.00022025438177445994,6.498848531977476e-05,55,cap,False
accruals,66,0.00021215868629840114,3.7848963059380643e-05,56,cap,False
idio_vol_252d_vs_sector,67,0.00020592685959331435,1.3761922272749977e-05,57,cap,False
turnover_21d_z,68,0.00019563583714467925,3.9335126062014406e-05,58,cap,False
ret_63d_vs_sector,69,0.00018868101283915433,2.2155761976166527e-05,59,cap,False
volume_zscore_21d,70,0.00018705257855528912,3.882837609000263e-05,60,cap,False
macd_hist_vs_sector,71,0.00018232569373316737,1.7645583760793307e-05,61,cap,False
accruals_z,72,0.00017534232339806916,2.1053024577856738e-05,56,cap,False
price_to_book,73,0.00017395351132071612,1.5421877932621804e-05,62,cap,False
shares_change_growth_yoy,74,0.00017253646111413994,2.6118522932096076e-05,63,cap,False
ev_to_ebitda,75,0.00017018995931611424,2.0684300822144356e-05,64,cap,False
debt_to_equity_vs_sector,76,0.00016812349299985218,8.719586707612536e-06,65,cap,False
adv_21d_vs_sector,77,0.00016704004176703148,3.235305901777614e-05,66,cap,False
rsi_14,78,0.00016638802162798421,2.554994573842295e-05,67,cap,False
ret_21d_vs_sector,79,0.00016440648421954036,2.6823193782447137e-05,68,cap,False
earnings_yield_z,80,0.00016415326554058323,2.027266984802342e-05,53,cap,False
ret_126d_vs_sector,81,0.00016250446466381527,7.88200602326784e-06,69,cap,False
max_drawdown_252d_vs_sector,82,0.0001582437818983052,5.188477499253653e-05,70,cap,False
adj_volume,83,0.00015687746728582232,8.908032512857166e-06,71,cap,False
max_drawdown_252d_decile,84,0.0001524247034073733,1.7592308781505953e-05,26,cap,False
vol_252d_z,85,0.0001510542517158449,1.2276524864117796e-05,72,cap,False
fcf_yield,86,0.00013007175251058032,1.596080013203532e-05,73,cap,False
ev_to_ebitda_vs_sector,87,0.00012808656086137863,1.5827404866608517e-05,74,cap,False
price_to_sales_vs_sector,88,0.00011915078396327377,2.5087685025671356e-05,75,cap,False
cash_and_equivalents,89,0.00011440616706009628,5.589838641952383e-06,76,cap,False
accruals_decile,90,0.00011292644832040693,1.2674016446407171e-05,56,cap,False
