date,0 bps,5 bps,10 bps,20 bps
2024-10-01,1.003487199933786,1.003487199933786,1.003487199933786,1.003487199933786
2024-10-02,1.0058540576905868,1.0058540576905868,1.0058540576905868,1.0058540576905868
2024-10-03,1.006812882031797,1.006812882031797,1.006812882031797,1.006812882031797
2024-10-04,1.0071188871517507,1.0071188871517507,1.0071188871517507,1.0071188871517507
2024-10-07,1.0109200754776773,1.0109200754776773,1.0109200754776773,1.0109200754776773
2024-10-08,1.012210800485854,1.0120739342862477,1.011937068086641,1.011663335687428
2024-10-09,1.0120865366043543,1.011822909455906,1.0115593165966301,1.0110322337455973
2024-10-10,1.0106925817096564,1.010314671926516,1.009936856118691,1.009181506382366
2024-10-11,1.0088185327963248,1.008324869512063,1.007831387126975,1.006844964877822
2024-10-14,1.0072698826697362,1.0066525622721814,1.0060355442754674,1.0048024150405712
2024-10-15,1.0017533088204265,1.0010090797345204,1.0002653111127944,0.9987791543508823
2024-10-16,1.0001615477275787,0.999294988939995,0.9984290734288064,0.9966991706447234
2024-10-17,1.00073598658185,0.9997556630617022,0.9987761794851575,0.9968197296968335
2024-10-18,1.0023015103802462,1.0012103330477207,1.0001202111798442,0.9979431302670724
2024-10-21,1.0029776037941158,1.0017884708511693,1.0006006057909425,0.9982286745168057
2024-10-22,1.0032325120158194,1.0019559825900242,1.0006809279122504,0.9981352366766366
2024-10-23,1.0047419625947531,1.0033580004200087,1.0019757837543006,0.9992165789556277
2024-10-24,1.0032853722545017,1.0017916955898039,1.0003000697148392,0.9973229600226088
2024-10-25,1.0068036503069333,1.00519919999264,1.0035971219361404,1.000400069660675
2024-10-28,1.0100572054886594,1.0083335930022028,1.0066127237517228,1.003179198759089
2024-10-29,1.0159632157480218,1.014137581387113,1.0123150201328,1.0086790976538842
2024-10-30,1.0082740380720896,1.0063594410340369,1.0044482632662037,1.0006361426675336
2024-10-31,1.0110877560978266,1.0090762579599841,1.00706853639062,1.0030643962951504
2024-11-01,1.0171300852100558,1.015008376924786,1.0128908585042258,1.008668360036303
2024-11-04,1.0219559711332786,1.019719339589259,1.0174873552944588,1.0130372919022912
2024-11-05,1.0209756288762508,1.018635758016711,1.0163009912858643,1.0116467279468486
2024-11-06,1.0208207199151902,1.0183740186479173,1.0159329120841827,1.0110674343831747
2024-11-07,1.0149104123641637,1.0123564617886147,1.0098086556039791,1.0047314200240742
2024-11-08,1.008501171078511,1.0058302963437238,1.0031661969065793,0.997858258236968
2024-11-11,1.003908414163834,1.001123624956786,0.9983462480658073,0.9928136556847359
2024-11-12,1.0029374694123954,1.0000400604583661,0.9971506964684217,0.9913960176960059
2024-11-13,1.001108415138948,0.9981051428719929,0.9951105431618823,0.9891472651920858
2024-11-14,1.00119306440892,0.9980845130942132,0.994985265280117,0.9888145730152261
2024-11-15,1.0058621922674902,1.0026421872437368,0.9994321312476391,0.9930417478966405
2024-11-18,1.0127941574791828,1.0094566491857584,1.0061297687880728,0.9995077611177356
2024-11-19,1.015191401394849,1.0117356535585276,1.008291286070548,1.0014365473851536
2024-11-20,1.0162192446284497,1.0126515977284072,1.0090960807776297,1.002021277253013
2024-11-21,1.0198248133350194,1.01615031107869,1.0124886432802342,1.005203637539622
2024-11-22,1.0240188533333776,1.0202059329192692,1.0164067884092303,1.0088496342656046
2024-11-25,1.027126326802396,1.0231801605797637,1.0192487182776353,1.0114297923901017
2024-11-26,1.0285621151455855,1.0244801338371345,1.0204138983455882,1.0123284290785795
2024-11-27,1.0349709730776526,1.0307525720427333,1.02655089595287,1.0181974610374331
2024-11-29,1.0363616047181199,1.0320040426816564,1.0276643163824621,1.0190380872197398
2024-12-02,1.0335627443098574,1.0290791674968547,1.024614537048346,1.0157418038115624
2024-12-03,1.03141435347591,1.0268130785726257,1.022231812777338,1.013128969816344
2024-12-04,1.0278271040986924,1.0231068798100107,1.0184077992562746,1.0090727004580418
