feature_name,rank,mean_abs_shap,selected,model_version
beta_252d_vs_sector,103,0.00010013848996419191,false,20260905-unknown
fcf_yield_decile,104,9.831663998903763e-05,false,20260905-unknown
net_income_growth_yoy,105,9.762909839604202e-05,false,20260905-unknown
debt_to_equity_z,106,9.65042649555315e-05,false,20260905-unknown
price_to_book_z,107,9.606376575093582e-05,false,20260905-unknown
gross_margin,108,9.499820153360177e-05,false,20260905-unknown
obv_flow_21d,109,9.245635846396664e-05,false,20260905-unknown
revenue_growth_yoy,110,9.156303796397652e-05,false,20260905-unknown
turnover_21d,111,9.117237124090148e-05,false,20260905-unknown
eps_basic,112,8.69833527902292e-05,false,20260905-unknown
fcf_yield_vs_sector,113,8.561370064516617e-05,false,20260905-unknown
asset_turnover_z,114,8.512511209931184e-05,false,20260905-unknown
market_cap_vs_sector,115,8.346583250615081e-05,false,20260905-unknown
turnover_21d_decile,116,7.82309875285075e-05,false,20260905-unknown
roe_vs_sector,117,7.736865151615715e-05,false,20260905-unknown
asset_turnover_decile,118,7.6491416588644e-05,false,20260905-unknown
price_to_ma_50_decile,119,7.623325362427588e-05,false,20260905-unknown
net_margin_vs_sector,120,7.489397539826384e-05,false,20260905-unknown
idio_vol_252d_decile,121,7.334543562064829e-05,false,20260905-unknown
sharpe_21d,122,7.311208271791565e-05,false,20260905-unknown
revenue_growth_qoq,123,6.99722971838997e-05,false,20260905-unknown
gross_margin_z,124,6.963812584541316e-05,false,20260905-unknown
idio_vol_252d_z,125,6.526713852922768e-05,false,20260905-unknown
revenue_growth_yoy_vs_sector,126,6.456374296297437e-05,false,20260905-unknown
dist_from_52w_high_decile,127,6.353837716151255e-05,false,20260905-unknown
price_to_sales_z,128,6.290820335316733e-05,false,20260905-unknown
revenue_growth_yoy_z,129,6.176830366280198e-05,false,20260905-unknown
ocf_growth_yoy,130,5.788599934708107e-05,false,20260905-unknown
asset_turnover_vs_sector,131,5.7104819344720334e-05,false,20260905-unknown
has_fundamentals,132,5.553850044551626e-05,false,20260905-unknown
accruals_vs_sector,133,5.530730660496233e-05,false,20260905-unknown
sharpe_63d_decile,134,5.150202718386266e-05,false,20260905-unknown
revenue_ttm,135,4.966170192136116e-05,false,20260905-unknown
ret_126d_decile,136,4.89875675012985e-05,false,20260905-unknown
vol_21d_z,137,4.8411217740914235e-05,false,20260905-unknown
ocf_to_net_income,138,4.7623690170422225e-05,false,20260905-unknown
roic_vs_sector,139,4.588044223727277e-05,false,20260905-unknown
shares_change_growth_yoy_z,140,4.159977813502259e-05,false,20260905-unknown
capex_to_revenue,141,3.91466578910992e-05,false,20260905-unknown
bollinger_pctb_20_vs_sector,142,3.823743895888457e-05,false,20260905-unknown
eps_diluted,143,3.777278158430296e-05,false,20260905-unknown
rsi_14_vs_sector,144,3.7538148969073295e-05,false,20260905-unknown
sharpe_63d_vs_sector,145,3.701648934523401e-05,false,20260905-unknown
ret_21d_z,146,3.6892476518747365e-05,false,20260905-unknown
ret_21d_decile,147,3.613804810274787e-05,false,20260905-unknown
vol_21d_vs_sector,148,3.5953388263188804e-05,false,20260905-unknown
interest_coverage,149,3.526517988325132e-05,false,20260905-unknown
roic_decile,150,3.40353172203917e-05,false,20260905-unknown
ret_63d_decile,151,3.16322569459655e-05,false,20260905-unknown
eps_growth_qoq,152,3.083364506456882e-05,false,20260905-unknown
net_debt_to_ebitda_vs_sector,153,2.757618364300093e-05,false,20260905-unknown
asset_turnover,154,2.6237642909388676e-05,false,20260905-unknown
eps_growth_yoy_vs_sector,155,2.481381723530605e-05,false,20260905-unknown
free_cash_flow_ttm,156,2.3105738244828672e-05,false,20260905-unknown
eps_growth_yoy,157,2.3073584813441103e-05,false,20260905-unknown
roic_z,158,2.2891447014117492e-05,false,20260905-unknown
ev_to_ebitda_z,159,2.158835221311531e-05,false,20260905-unknown
debt_to_market_cap,160,2.149345830834991e-05,false,20260905-unknown
rsi_14_z,161,2.115650132798091e-05,false,20260905-unknown
operating_margin,162,2.0304628873022312e-05,false,20260905-unknown
beta_252d_decile,163,2.0297032275077663e-05,false,20260905-unknown
eps_growth_yoy_z,164,1.906591964892496e-05,false,20260905-unknown
net_debt_to_ebitda_z,165,1.7025528467521765e-05,false,20260905-unknown
ev_to_ebitda_decile,166,1.6197710743070176e-05,false,20260905-unknown
roe_decile,167,1.5181658293447462e-05,false,20260905-unknown
earnings_yield_decile,168,1.5113571967666713e-05,false,20260905-unknown
revenue_growth_yoy_decile,169,1.2626178471374192e-05,false,20260905-unknown
price_to_book_decile,170,1.0664785343742842e-05,false,20260905-unknown
net_margin_decile,171,0.0,false,20260905-unknown
net_debt_to_ebitda,172,0.0,false,20260905-unknown
price_to_book_vs_sector,173,0.0,false,20260905-unknown
rsi_14_decile,174,0.0,false,20260905-unknown
is_month_end,175,0.0,false,20260905-unknown
gross_margin_decile,176,0.0,false,20260905-unknown
roe_z,177,0.0,false,20260905-unknown
roe,178,0.0,false,20260905-unknown
is_quarter_end,179,0.0,false,20260905-unknown
fcf_yield_z,180,0.0,false,20260905-unknown
net_debt_to_ebitda_decile,181,0.0,false,20260905-unknown
price_to_sales_decile,182,0.0,false,20260905-unknown
gross_margin_vs_sector,183,0.0,false,20260905-unknown
day_of_week,184,0.0,false,20260905-unknown
debt_to_equity,185,0.0,false,20260905-unknown
debt_to_equity_decile,186,0.0,false,20260905-unknown
eps_ttm,187,0.0,false,20260905-unknown
shares_change_growth_yoy_decile,188,0.0,false,20260905-unknown
shares_change_growth_yoy_vs_sector,189,0.0,false,20260905-unknown
eps_growth_yoy_decile,190,0.0,false,20260905-unknown
gap_overnight,191,0.0,false,20260905-unknown
vol_21d_decile,192,0.0,false,20260905-unknown
roic,193,0.0,false,20260905-unknown
