feature_name,rank,mean_abs_shap,std_abs_shap,cluster_id,cutoff_rule,selected
industry,1,0.006372870416166379,8.296572304050634e-05,1,cap,True
reversal_5d_z,2,0.003619729054356238,0.0002059347098020507,2,cap,True
amihud_illiq_21d_decile,3,0.0026320198529373347,0.00013723331047253102,3,cap,True
amihud_illiq_21d,4,0.0024354700148881423,0.00014249663178072275,4,cap,True
reversal_5d_decile,5,0.0018209813576646108,0.00011514851832218502,2,cap,False
amihud_illiq_21d_z,6,0.0012540301774879724,9.647002577870539e-05,5,cap,True
amihud_illiq_21d_vs_sector,7,0.0012173527904641883,0.0002369653761479599,6,cap,True
market_cap_decile,8,0.0011890033862247194,0.0001557817715327482,7,cap,True
dist_from_52w_high_z,9,0.0010683347958687134,0.00020881826857497074,8,cap,True
price_to_ma_50,10,0.0010468467521881437,0.00018241160582111926,9,cap,True
market_cap_z,11,0.0009517477512815183,0.00015640461064695711,7,cap,False
mom_12_1_z,12,0.0009103924889009732,3.329029225293394e-05,10,cap,True
macd,13,0.0008791404481112765,4.941732910218053e-05,11,cap,True
reversal_5d_vs_sector,14,0.0008345752585087856,0.00010168535868281007,12,cap,True
atr_14,15,0.0008296142019537936,7.548869788247928e-05,13,cap,True
adv_21d_z,16,0.0007574299113264854,6.632128047444341e-05,14,cap,True
month_of_year,17,0.000699772059956953,5.03292440120419e-05,15,cap,True
max_drawdown_252d,18,0.0006660627299322899,5.812426814246875e-05,16,cap,True
adv_21d_decile,19,0.0006420036028529305,5.1115403544090804e-05,14,cap,False
bollinger_pctb_20_z,20,0.0005982135592264309,8.361421169196982e-05,17,cap,True
ret_63d,21,0.0005664805637463586,8.838894719373548e-05,18,cap,True
days_since_available,22,0.0005625848435481582,4.561484274896881e-05,19,cap,True
ebitda_ttm,23,0.0004967199558120069,0.00010835725885846599,20,cap,True
price_to_ma_50_z,24,0.0004911354018576313,2.5910332217626416e-05,21,cap,True
ret_63d_z,25,0.00045917813647500727,1.973308986002307e-05,22,cap,True
stoch_k_14,26,0.0004575188402258619,2.836633963805635e-05,23,cap,True
ma_50_over_200,27,0.0004498850876319684,5.9832220099297484e-05,24,cap,True
atr_pct,28,0.0004317167175629192,7.559426787543178e-05,25,cap,True
ret_21d,29,0.0004275001120509807,5.4600695822341585e-05,26,cap,True
sharpe_63d,30,0.0004181868183316391,5.140174685523049e-05,18,cap,False
mom_12_1,31,0.00041000200160356106,2.7645364369242752e-05,27,cap,True
bollinger_width_20,32,0.00033425457543609957,5.848722761305602e-05,28,cap,True
reversal_5d,33,0.00030770971866561273,4.1287870960796045e-05,29,cap,True
ret_252d,34,0.00030705868223812095,1.690952585182475e-05,30,cap,True
parkinson_vol_21d,35,0.0002936800697924765,5.093962993684441e-05,31,cap,True
ret_5d,36,0.00029134412513171973,2.4953640253631274e-05,29,cap,False
vol_252d,37,0.0002832982657555266,4.869386366306029e-05,32,cap,True
price_to_ma_200,38,0.0002687600305794263,6.827636116629606e-05,33,cap,True
macd_hist_z,39,0.00026301989089643103,6.026197783399111e-06,34,cap,True
sector,40,0.00025953653264029677,1.0870420987157906e-05,35,cap,True
max_drawdown_252d_z,41,0.00025102920375926223,1.2003906468903211e-05,36,cap,True
dist_from_52w_high,42,0.00022593191440374425,2.256918598642899e-05,37,cap,True
turnover_21d_z,43,0.00020772231295584437,4.879141146451049e-05,38,cap,True
mom_12_1_vs_sector,44,0.00019380284128521293,1.1429384212046371e-05,39,cap,True
earnings_yield_z,45,0.00019311214065781526,2.2269884599432062e-05,40,cap,True
dist_from_52w_high_vs_sector,46,0.00018540355299457274,2.876801161248204e-05,41,cap,False
macd_signal,47,0.00018502396897694743,1.4167348622453165e-05,42,cap,False
beta_252d,48,0.00017941173198873062,1.5351913419832094e-05,43,cap,False
vol_252d_z,49,0.00017492480083251084,1.906174831018911e-05,44,cap,False
macd_hist_decile,50,0.00017434633182691686,5.6745844247170855e-06,34,cap,False
macd_hist_vs_sector,51,0.00015290717568194523,1.2453447856000199e-05,45,cap,False
idio_vol_252d,52,0.00014505687633134057,3.423508016974361e-05,46,cap,False
turnover_21d,53,0.00014144503329177754,1.419769558921103e-05,47,cap,False
accruals_z,54,0.00013613288291277652,1.5172478353163471e-05,48,cap,False
earnings_yield,55,0.00013596270723247638,7.005654047914526e-06,40,cap,False
downside_dev_21d,56,0.00013412250141140835,5.981228692923839e-05,49,cap,False
bollinger_pctb_20_decile,57,0.0001319704203655302,7.781896685249393e-06,17,cap,False
bollinger_pctb_20_vs_sector,58,0.0001307721094806432,3.169747104139654e-06,50,cap,False
vol_63d,59,0.00012668263250780048,5.805911094151416e-05,51,cap,False
eps_growth_yoy_z,60,0.00012146973936334987,2.4096832401074512e-05,52,cap,False
vol_21d,61,0.00011950351077845017,3.632582503488436e-05,53,cap,False
ret_63d_vs_sector,62,0.00011367390824626035,1.2855054787634116e-05,54,cap,False
mom_12_1_decile,63,0.00011170356750260402,1.3932384856983411e-05,10,cap,False
rsi_14_vs_sector,64,0.00010778218162423806,2.123397425152895e-05,55,cap,False
ret_126d,65,0.00010752767989668386,1.80967155721171e-05,56,cap,False
ret_1d,66,0.0001058901530489622,1.4531042299644444e-05,57,cap,False
price_to_ma_50_decile,67,0.00010525288781850257,5.296820173780536e-06,21,cap,False
accruals,68,9.293382988654834e-05,8.798929085781623e-06,48,cap,False
adv_21d_vs_sector,69,8.808871121435302e-05,1.922424576688685e-06,58,cap,False
price_to_ma_50_vs_sector,70,8.768671068513334e-05,9.545295756637684e-06,59,cap,False
net_margin_z,71,8.765931651530116e-05,2.5895857210466345e-05,60,cap,False
ev_to_ebitda_vs_sector,72,8.696703196506862e-05,1.1032830540524222e-05,61,cap,False
ret_126d_z,73,8.610962453895577e-05,5.351186160903442e-06,62,cap,False
idio_vol_252d_decile,74,8.541981106555375e-05,1.4542600199923334e-05,63,cap,False
long_term_debt,75,8.452830687144319e-05,1.1621981299412167e-05,64,cap,False
beta_252d_z,76,8.451447975066213e-05,1.3882446098462529e-05,43,cap,False
operating_margin,77,8.44589742578302e-05,1.4073081124186967e-05,65,cap,False
roa,78,8.285763439852005e-05,9.503106846436303e-06,66,cap,False
eps_basic,79,8.206349500698854e-05,2.037745903877905e-05,67,cap,False
fcf_yield,80,8.033785347410911e-05,1.6836852793833705e-05,68,cap,False
ret_21d_decile,81,7.992657798810388e-05,1.0710083076481818e-05,69,cap,False
bollinger_pctb_20,82,7.933972973715213e-05,7.861409830994472e-06,70,cap,False
beta_252d_decile,83,7.854757876842962e-05,4.0336461305949645e-06,43,cap,False
dist_from_52w_high_decile,84,7.368859261341865e-05,5.586952081928791e-06,8,cap,False
turnover_21d_decile,85,7.052844939912847e-05,6.069427643872753e-06,71,cap,False
revenue_ttm,86,6.538246434054372e-05,2.9924707658386506e-06,72,cap,False
asset_turnover_decile,87,6.319135819531934e-05,6.68354103948757e-06,73,cap,False
adj_volume,88,6.254452304024714e-05,1.2189031655250683e-05,74,cap,False
idio_vol_252d_vs_sector,89,6.150474972130724e-05,1.2172028905676902e-05,75,cap,False
max_drawdown_252d_vs_sector,90,6.079273201900643e-05,9.20234040653459e-06,76,cap,False
macd_hist,91,5.933313569238505e-05,1.226440543145951e-05,77,cap,False
volume_zscore_21d,92,5.8784429162817234e-05,1.1381768038296337e-05,78,cap,False
vol_21d_z,93,5.861513816702316e-05,6.234740627902692e-06,79,cap,False
roic_vs_sector,94,5.8274574329134826e-05,8.46799440192025e-06,80,cap,False
operating_cash_flow_ttm,95,5.8132434048854996e-05,7.931420198273335e-06,81,cap,False
net_income_ttm,96,5.734549582126063e-05,4.229553272139707e-06,82,cap,False
idio_vol_252d_z,97,5.71834636545524e-05,9.665866732601202e-06,63,cap,False
max_drawdown_252d_decile,98,5.490184810822154e-05,6.553089235580634e-06,36,cap,False
gross_margin_z,99,5.276777408307752e-05,2.4311098790679467e-06,83,cap,False
